original_column_name,column_name,column_description,data_format,value_description
player_id,,,TEXT,
year,,,INTEGER,
stint,,,INTEGER,
team_id,,,TEXT,
league_id,,,TEXT,
w,,,INTEGER,
l,,,INTEGER,
g,,,INTEGER,
gs,,,INTEGER,
cg,,,INTEGER,
sho,,,INTEGER,
sv,,,INTEGER,
ipouts,,,NUMERIC,
h,,,INTEGER,
er,,,INTEGER,
hr,,,INTEGER,
bb,,,INTEGER,
so,,,INTEGER,
baopp,,,NUMERIC,
era,,,NUMERIC,
ibb,,,NUMERIC,
wp,,,NUMERIC,
hbp,,,NUMERIC,
bk,,,INTEGER,
bfp,,,NUMERIC,
gf,,,NUMERIC,
r,,,INTEGER,
sh,,,NUMERIC,
sf,,,NUMERIC,
g_idp,,,NUMERIC,
