original_column_name,column_name,column_description,data_format,value_description
player_id,,,TEXT,
year,,,INTEGER,
round,,,TEXT,
team_id,,,TEXT,
league_id,,,TEXT,
w,,,INTEGER,
l,,,INTEGER,
g,,,INTEGER,
gs,,,INTEGER,
cg,,,INTEGER,
sho,,,INTEGER,
sv,,,INTEGER,
ipouts,,,INTEGER,
h,,,INTEGER,
er,,,INTEGER,
hr,,,INTEGER,
bb,,,INTEGER,
so,,,INTEGER,
baopp,,,TEXT,
era,,,NUMERIC,
ibb,,,NUMERIC,
wp,,,NUMERIC,
hbp,,,NUMERIC,
bk,,,NUMERIC,
bfp,,,NUMERIC,
gf,,,INTEGER,
r,,,INTEGER,
sh,,,NUMERIC,
sf,,,NUMERIC,
g_idp,,,NUMERIC,
