original_column_name,column_name,column_description,data_format,value_description
player_id,,,TEXT,
birth_year,,,NUMERIC,
birth_month,,,NUMERIC,
birth_day,,,NUMERIC,
birth_country,,,TEXT,
birth_state,,,TEXT,
birth_city,,,TEXT,
death_year,,,NUMERIC,
death_month,,,NUMERIC,
death_day,,,NUMERIC,
death_country,,,TEXT,
death_state,,,TEXT,
death_city,,,TEXT,
name_first,,,TEXT,
name_last,,,TEXT,
name_given,,,TEXT,
weight,,,NUMERIC,
height,,,NUMERIC,
bats,,,TEXT,
throws,,,TEXT,
debut,,,TEXT,
final_game,,,TEXT,
retro_id,,,TEXT,
bbref_id,,,TEXT,
