original_column_name,column_name,column_description,data_format,value_description
year,,,INTEGER,
league_id,,,TEXT,
team_id,,,TEXT,
franchise_id,,,TEXT,
div_id,,,TEXT,
rank,,,INTEGER,
g,,,INTEGER,
ghome,,,NUMERIC,
w,,,INTEGER,
l,,,INTEGER,
div_win,,,TEXT,
wc_win,,,TEXT,
lg_win,,,TEXT,
ws_win,,,TEXT,
r,,,INTEGER,
ab,,,INTEGER,
h,,,INTEGER,
double,,,INTEGER,
triple,,,INTEGER,
hr,,,INTEGER,
bb,,,INTEGER,
so,,,NUMERIC,
sb,,,NUMERIC,
cs,,,NUMERIC,
hbp,,,NUMERIC,
sf,,,NUMERIC,
ra,,,INTEGER,
er,,,INTEGER,
era,,,NUMERIC,
cg,,,INTEGER,
sho,,,INTEGER,
sv,,,INTEGER,
ipouts,,,INTEGER,
ha,,,INTEGER,
hra,,,INTEGER,
bba,,,INTEGER,
soa,,,INTEGER,
e,,,INTEGER,
dp,,,NUMERIC,
fp,,,NUMERIC,
name,,,TEXT,
park,,,TEXT,
attendance,,,NUMERIC,
bpf,,,INTEGER,
ppf,,,INTEGER,
team_id_br,,,TEXT,
team_id_lahman45,,,TEXT,
team_id_retro,,,TEXT,
