original_column_name,column_name,column_description,data_format,value_description
case_id,,,REAL,
jurisdiction,,,REAL,
officer_id,,,TEXT,
reporting_district,,,TEXT,
chp_shift,,,TEXT,
population,,,TEXT,
county_city_location,,,INTEGER,
county_location,,,TEXT,
special_condition,,,REAL,
beat_type,,,TEXT,
chp_beat_type,,,TEXT,
city_division_lapd,,,TEXT,
chp_beat_class,,,TEXT,
beat_number,,,TEXT,
primary_road,,,TEXT,
secondary_road,,,TEXT,
distance,,,REAL,
direction,,,TEXT,
intersection,,,REAL,
weather_1,,,TEXT,
weather_2,,,TEXT,
state_highway_indicator,,,REAL,
caltrans_county,,,TEXT,
caltrans_district,,,REAL,
state_route,,,REAL,
route_suffix,,,TEXT,
postmile_prefix,,,TEXT,
postmile,,,REAL,
location_type,,,TEXT,
ramp_intersection,,,TEXT,
side_of_highway,,,TEXT,
tow_away,,,REAL,
collision_severity,,,TEXT,
killed_victims,,,REAL,
injured_victims,,,REAL,
party_count,,,REAL,
primary_collision_factor,,,TEXT,
pcf_violation_code,,,TEXT,
pcf_violation_category,,,TEXT,
pcf_violation,,,REAL,
pcf_violation_subsection,,,TEXT,
hit_and_run,,,TEXT,
type_of_collision,,,TEXT,
motor_vehicle_involved_with,,,TEXT,
pedestrian_action,,,TEXT,
road_surface,,,TEXT,
road_condition_1,,,TEXT,
road_condition_2,,,TEXT,
lighting,,,TEXT,
control_device,,,TEXT,
chp_road_type,,,TEXT,
pedestrian_collision,,,INTEGER,
bicycle_collision,,,INTEGER,
motorcycle_collision,,,INTEGER,
truck_collision,,,INTEGER,
not_private_property,,,REAL,
alcohol_involved,,,REAL,
statewide_vehicle_type_at_fault,,,TEXT,
chp_vehicle_type_at_fault,,,TEXT,
severe_injury_count,,,INTEGER,
other_visible_injury_count,,,INTEGER,
complaint_of_pain_injury_count,,,INTEGER,
pedestrian_killed_count,,,INTEGER,
pedestrian_injured_count,,,INTEGER,
bicyclist_killed_count,,,INTEGER,
bicyclist_injured_count,,,INTEGER,
motorcyclist_killed_count,,,INTEGER,
motorcyclist_injured_count,,,REAL,
primary_ramp,,,TEXT,
secondary_ramp,,,TEXT,
latitude,,,REAL,
longitude,,,REAL,
collision_date,,,TEXT,
collision_time,,,TEXT,
process_date,,,TEXT,
