original_column_name,column_name,column_description,data_format,value_description
id,,,INTEGER,
team_fifa_api_id,,,INTEGER,
team_api_id,,,INTEGER,
date,,,TEXT,
buildUpPlaySpeed,,,INTEGER,
buildUpPlaySpeedClass,,,TEXT,
buildUpPlayDribbling,,,INTEGER,
buildUpPlayDribblingClass,,,TEXT,
buildUpPlayPassing,,,INTEGER,
buildUpPlayPassingClass,,,TEXT,
buildUpPlayPositioningClass,,,TEXT,
chanceCreationPassing,,,INTEGER,
chanceCreationPassingClass,,,TEXT,
chanceCreationCrossing,,,INTEGER,
chanceCreationCrossingClass,,,TEXT,
chanceCreationShooting,,,INTEGER,
chanceCreationShootingClass,,,TEXT,
chanceCreationPositioningClass,,,TEXT,
defencePressure,,,INTEGER,
defencePressureClass,,,TEXT,
defenceAggression,,,INTEGER,
defenceAggressionClass,,,TEXT,
defenceTeamWidth,,,INTEGER,
defenceTeamWidthClass,,,TEXT,
defenceDefenderLineClass,,,TEXT,
