original_column_name,column_name,column_description,data_format,value_description
race_id,,,INT(11),
year,,,INT(11),
round,,,INT(11),
circuit_id,,,INT(11),
name,,,VARCHAR(255),
date,,,DATE,
time,,,TIME,
url,,,VARCHAR(255),
fp1_date,,,VARCHAR(255),
fp1_time,,,VARCHAR(255),
fp2_date,,,VARCHAR(255),
fp2_time,,,VARCHAR(255),
fp3_date,,,VARCHAR(255),
fp3_time,,,VARCHAR(255),
quali_date,,,VARCHAR(255),
quali_time,,,VARCHAR(255),
sprint_date,,,VARCHAR(255),
sprint_time,,,VARCHAR(255),
